Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Res,Data,Temp,Clamp,Batch,Acc,Stress
44,0.00332362,0.00348775,0.00000424,0.0000,0.0000,24.6000,0.8154,0.0500,10.0000,0.0000,0.0000,384,0.10,0.10,20.00,16,1,0.000000
45,0.00332270,0.00348776,0.00000297,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,384,0.10,0.10,20.00,16,1,0.000000
46,0.00332160,0.00348770,0.00000191,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,384,0.10,0.10,20.00,16,1,0.000000
47,0.00332128,0.00348753,0.00000108,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,384,0.10,0.10,20.00,16,1,0.000000
48,0.00332076,0.00348798,0.00000048,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,384,0.10,0.10,20.00,16,1,0.000000
49,0.00332059,0.00348793,0.00000012,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,384,0.10,0.10,20.00,16,1,0.000000
50,0.00332048,0.00348794,0.00000000,0.0000,0.0000,24.6000,0.8155,0.0500,10.0000,0.0000,0.0000,384,0.10,0.10,20.00,16,1,0.000000
51,0.00449305,0.00471967,0.00000025,0.0000,0.0000,24.6628,0.8157,0.0564,9.8352,0.0000,0.0000,384,0.10,0.10,19.95,16,1,0.000000
52,0.00565789,0.00597176,0.00000050,0.0000,0.0000,24.4221,0.8156,0.0634,9.5435,0.0000,0.0000,384,0.10,0.10,20.01,15,1,0.000000
53,0.00682049,0.00716359,0.00000074,0.0000,0.0000,24.3733,0.8136,0.0697,9.3963,0.0000,0.0000,384,0.10,0.10,20.03,15,1,0.000000
54,0.00797402,0.00841683,0.00000099,0.0000,0.0000,24.4254,0.8085,0.0769,9.1659,0.0000,0.0000,384,0.11,0.10,19.94,14,1,0.000000
55,0.00915443,0.00971626,0.00000124,0.0000,0.0000,24.2926,0.8088,0.0832,9.0143,0.0000,0.0000,384,0.11,0.10,20.01,14,1,0.000000
56,0.01032653,0.01087597,0.00000149,0.0000,0.0000,24.1907,0.8138,0.0899,8.7558,0.0000,0.0000,384,0.11,0.10,20.06,14,1,0.000000
57,0.01149297,0.01215395,0.00000173,0.0000,0.0000,24.1473,0.8111,0.0963,8.6036,0.0000,0.0000,384,0.11,0.10,19.93,13,1,0.000000
58,0.01260744,0.01336042,0.00000199,0.0000,0.0000,24.2695,0.8072,0.1029,8.3234,0.0000,0.0000,384,0.11,0.10,20.03,13,1,0.000000
59,0.01378075,0.01459419,0.00000223,0.0000,0.0000,24.0987,0.8051,0.1104,8.1546,0.0000,0.0000,384,0.11,0.10,20.05,13,1,0.000000
60,0.01496991,0.01584552,0.00000248,0.0000,0.0000,24.1693,0.8100,0.1163,7.9177,0.0000,0.0000,384,0.12,0.10,20.10,12,1,0.000000
61,0.01604755,0.01716139,0.00000273,0.0000,0.0000,24.1811,0.8047,0.1231,7.7353,0.0000,0.0000,384,0.12,0.10,19.99,12,1,0.000000
62,0.01716206,0.01840862,0.00000298,0.0000,0.0000,24.0922,0.8065,0.1298,7.5538,0.0000,0.0000,384,0.12,0.10,19.94,12,1,0.000000
63,0.01838128,0.01955734,0.00000321,0.0000,0.0000,24.0340,0.8076,0.1371,7.3698,0.0000,0.0000,384,0.12,0.10,20.03,11,1,0.000000
64,0.01958696,0.02080531,0.00000347,0.0000,0.0000,23.8624,0.8061,0.1431,7.1433,0.0000,0.0000,384,0.12,0.10,20.07,11,1,0.000000
65,0.02080628,0.02193045,0.00000370,0.0000,0.0000,23.8336,0.8035,0.1491,6.9341,0.0000,0.0000,384,0.12,0.10,19.97,10,1,0.000000
66,0.02186890,0.02317282,0.00000395,0.0000,0.0000,23.8601,0.8004,0.1560,6.7494,0.0000,0.0000,384,0.12,0.10,20.04,10,1,0.000000
67,0.02305523,0.02456289,0.00000422,0.0000,0.0000,23.8978,0.8034,0.1624,6.5231,0.0000,0.0000,384,0.13,0.10,19.94,10,1,0.000000
68,0.02429192,0.02568812,0.00000448,0.0000,0.0000,23.6232,0.8030,0.1705,6.3256,0.0000,0.0000,384,0.13,0.10,19.98,9,1,0.000000
69,0.02546445,0.02687342,0.00000471,0.0000,0.0000,23.6379,0.7996,0.1769,6.0855,0.0000,0.0000,384,0.13,0.10,20.03,9,1,0.000000
70,0.02649235,0.02820969,0.00000498,0.0000,0.0000,23.6854,0.8027,0.1827,5.8791,0.0000,0.0000,384,0.13,0.10,19.97,8,1,0.000000
71,0.02775274,0.02939133,0.00000519,0.0000,0.0000,23.6113,0.7990,0.1893,5.6982,0.0000,0.0000,384,0.13,0.10,20.01,8,1,0.000000
72,0.02870523,0.03055248,0.00000544,0.0000,0.0000,23.4528,0.7965,0.1966,5.5196,0.0000,0.0000,384,0.13,0.10,20.03,8,1,0.000000
73,0.03013925,0.03200172,0.00000569,0.0000,0.0000,23.4593,0.7979,0.2037,5.3010,0.0000,0.0000,384,0.14,0.10,19.96,7,1,0.000000
74,0.03124841,0.03322525,0.00000594,0.0000,0.0000,23.4435,0.7954,0.2095,5.0894,0.0000,0.0000,384,0.14,0.10,19.96,7,1,0.000000
75,0.03238966,0.03445401,0.00000618,0.0000,0.0000,23.3580,0.7977,0.2167,4.8999,0.0000,0.0000,384,0.14,0.10,20.03,7,1,0.000000
76,0.03354312,0.03575495,0.00000644,0.0000,0.0000,23.2486,0.7979,0.2234,4.6570,0.0000,0.0000,384,0.14,0.10,19.99,6,1,0.000000
77,0.03476552,0.03696399,0.00000672,0.0000,0.0000,23.2596,0.7962,0.2298,4.4516,0.0000,0.0000,384,0.14,0.10,20.00,6,1,0.000000
78,0.03572621,0.03817543,0.00000695,0.0000,0.0000,23.1556,0.7914,0.2361,4.2574,0.0000,0.0000,384,0.14,0.10,20.05,6,1,0.000000
79,0.03691410,0.03918226,0.00000722,0.0000,0.0000,23.1383,0.7940,0.2420,4.0674,0.0000,0.0000,384,0.15,0.10,20.00,5,1,0.000000
80,0.03809484,0.04051789,0.00000741,0.0000,0.0000,23.0502,0.7939,0.2488,3.8540,0.0000,0.0000,384,0.15,0.10,19.94,5,1,0.000000
81,0.03942714,0.04173296,0.00000769,0.0000,0.0000,23.1591,0.7919,0.2562,3.6568,0.0000,0.0000,384,0.15,0.10,19.91,4,1,0.000000
82,0.04043629,0.04306403,0.00000793,0.0000,0.0000,23.0593,0.7894,0.2630,3.4451,0.0000,0.0000,384,0.15,0.10,20.00,4,1,0.000000
83,0.04052462,0.04338933,0.00002240,0.0000,0.0000,23.8880,0.7894,0.2627,3.4279,0.0000,0.0000,384,0.15,0.10,20.00,4,1,0.000000
84,0.04063034,0.04328608,0.00004025,0.0000,0.0000,24.1334,0.7897,0.2636,3.4794,0.0000,0.0000,384,0.15,0.10,20.00,4,1,0.000000
85,0.04084671,0.04317727,0.00005462,0.0000,0.0000,23.9356,0.7899,0.2646,3.3941,0.0000,0.0000,384,0.15,0.10,20.00,4,1,0.000000
86,0.04080134,0.04350337,0.00006000,0.0000,0.0000,24.1407,0.7924,0.2615,3.3392,0.0000,0.0000,384,0.15,0.10,20.00,4,1,0.000000
87,0.04052985,0.04280554,0.00006000,0.0000,0.0000,24.0158,0.7921,0.2610,3.3065,0.0000,0.0000,384,0.15,0.10,20.00,4,1,0.000000
88,0.04035977,0.04322037,0.00006000,0.0000,0.0000,23.8814,0.7930,0.2615,3.2734,0.0000,0.0000,384,0.15,0.10,20.00,4,1,0.000000
89,0.04068714,0.04285099,0.00006000,0.0000,0.0000,23.6563,0.7949,0.2604,3.1883,0.0000,0.0000,384,0.15,0.10,15.00,4,1,0.000000
90,0.04024439,0.04252181,0.00006000,0.0000,0.0000,23.0539,0.7955,0.2592,3.1408,0.0000,0.0000,384,0.15,0.10,15.00,4,1,0.000000
91,0.04042500,0.04303432,0.00006000,0.0000,0.0000,22.1540,0.7958,0.2588,3.0887,0.0000,0.0000,384,0.15,0.10,15.00,4,1,0.000000
92,0.04170027,0.04266986,0.00005999,0.0000,0.0000,21.3661,0.7981,0.2570,2.8976,0.0000,0.0000,384,0.30,0.10,15.00,4,1,0.000000
93,0.04152994,0.04220046,0.00005999,0.0000,0.0000,24.0766,0.8011,0.2556,2.7823,0.0000,0.0000,384,0.45,0.10,15.00,4,1,0.000000
94,0.04154015,0.04270533,0.00005997,0.0000,0.0000,21.3046,0.8018,0.2551,2.7163,0.0000,0.0000,384,0.45,0.1000,15.0,4,1,0.000000
95,0.04093888,0.04216543,0.00005996,0.0000,0.0000,22.7877,0.8035,0.2538,2.5691,0.0000,0.0000,384,0.60,0.1000,15.0,4,1,0.000000
96,0.04071539,0.04246184,0.00005993,0.0000,0.0000,21.2997,0.8048,0.2528,2.4307,0.0000,0.0000,384,0.60,0.1000,15.0,4,1,0.000000
97,0.04112629,0.04183152,0.00005990,0.0000,0.0000,21.8182,0.8090,0.2506,2.3252,0.0000,0.0000,384,0.75,0.1000,15.0,4,1,0.000000
98,0.04105275,0.04207855,0.00005985,0.0000,0.0000,23.0185,0.8096,0.2503,2.2606,0.0000,0.0000,384,0.90,0.1000,15.0,4,1,0.000000
100,0.00000000,0.04160545,0.00000240,0.0000,0.0000,24.5252,0.8129,0.2483,2.0503,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000007
101,0.03821143,0.04128835,0.00000793,0.0000,0.0000,24.4923,0.8134,0.2477,2.0624,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000007
102,0.03806675,0.04140844,0.00002240,0.0000,0.0000,24.5306,0.8136,0.2477,2.0741,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000007
103,0.03819152,0.04139753,0.00004025,0.0000,0.0000,24.5323,0.8136,0.2476,2.0803,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000007
104,0.03828410,0.04132621,0.00005462,0.0000,0.0000,24.4813,0.8132,0.2486,2.0740,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000007
105,0.03856069,0.04145401,0.00006000,0.0000,0.0000,24.4485,0.8132,0.2481,2.0775,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000007
106,0.03855924,0.04154137,0.00006000,0.0000,0.0000,24.5450,0.8133,0.2475,2.0548,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
107,0.03819815,0.04167738,0.00006000,0.0000,0.0000,24.4744,0.8128,0.2487,2.0696,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000008
108,0.03841206,0.04133420,0.00006000,0.0000,0.0000,24.4774,0.8136,0.2475,2.0926,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
109,0.03826031,0.04135285,0.00006000,0.0000,0.0000,24.4568,0.8139,0.2480,2.0861,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
110,0.03825895,0.04148940,0.00006000,0.0000,0.0000,24.5168,0.8143,0.2487,2.0892,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000008
111,0.03815481,0.04168414,0.00005999,0.0000,0.0000,24.5257,0.8138,0.2475,2.0236,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000009
112,0.03830983,0.04295208,0.00005999,0.0000,0.0000,24.5290,0.8131,0.2468,2.0198,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000008
113,0.03820530,0.04137305,0.00005999,0.0000,0.0000,24.4610,0.8141,0.2471,2.0400,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
114,0.03803020,0.04184306,0.00005999,0.0000,0.0000,24.5663,0.8143,0.2477,2.0170,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
115,0.03836789,0.04137688,0.00005999,0.0000,0.0000,24.4550,0.8148,0.2478,2.0361,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
116,0.03814931,0.04115603,0.00005998,0.0000,0.0000,24.5078,0.8149,0.2473,2.0181,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
117,0.03811385,0.04147171,0.00005998,0.0000,0.0000,24.5320,0.8145,0.2478,2.0177,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000008
118,0.03810644,0.04119691,0.00005997,0.0000,0.0000,24.5389,0.8155,0.2468,2.0083,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
119,0.03828075,0.04130016,0.00005997,0.0000,0.0000,24.4734,0.8155,0.2465,2.0163,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000007
120,0.03792239,0.04114318,0.00005997,0.0000,0.0000,24.5365,0.8158,0.2465,1.9911,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000008
121,0.03792869,0.04153053,0.00005996,0.0000,0.0000,24.5321,0.8150,0.2477,2.0005,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000008
122,0.03793644,0.04177413,0.00005996,0.0000,0.0000,24.4590,0.8151,0.2484,2.0164,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000009
123,0.03805178,0.04142884,0.00005995,0.0000,0.0000,24.4895,0.8156,0.2465,1.9466,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000009
124,0.03808958,0.04132894,0.00005995,0.0000,0.0000,24.5698,0.8165,0.2461,1.9578,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000013
125,0.03777394,0.04178852,0.00005994,0.0000,0.0000,24.5700,0.8164,0.2470,1.9793,0.0000,0.0000,384,0.15,0.1000,15.0,4,1,0.000009
127,0.00089842,0.04132839,0.00000240,0.0000,0.0000,24.5696,0.8165,0.2461,1.9582,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
128,0.00058147,0.04132523,0.00000240,0.0000,0.0000,24.5695,0.8166,0.2461,1.9582,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
129,0.00035060,0.04132030,0.00000241,0.0000,0.0000,24.5694,0.8166,0.2461,1.9582,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
130,0.00136027,0.04131360,0.00000242,0.0000,0.0000,24.5693,0.8166,0.2461,1.9583,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
131,0.00060486,0.04130659,0.00000243,0.0000,0.0000,24.5691,0.8166,0.2460,1.9583,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
132,0.00063645,0.04130166,0.00000244,0.0000,0.0000,24.5691,0.8166,0.2460,1.9585,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
133,0.00044981,0.04129501,0.00000246,0.0000,0.0000,24.5690,0.8166,0.2460,1.9586,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
134,0.00084478,0.04128908,0.00000248,0.0000,0.0000,24.5688,0.8166,0.2460,1.9588,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
135,0.00088209,0.04128173,0.00000250,0.0000,0.0000,24.5686,0.8166,0.2460,1.9590,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
136,0.00052267,0.04127630,0.00000252,0.0000,0.0000,24.5685,0.8166,0.2460,1.9591,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
137,0.00039430,0.04127157,0.00000255,0.0000,0.0000,24.5684,0.8166,0.2460,1.9591,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
138,0.00067075,0.04126665,0.00000257,0.0000,0.0000,24.5684,0.8166,0.2460,1.9593,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000008
139,0.00043079,0.04126053,0.00000240,0.0000,0.0000,24.5682,0.8166,0.2460,1.9594,0.0000,0.0000,384,0.15,0.1000,20.0,4,1,0.000011
140,0.00018838,0.04137672,0.00000240,0.0000,0.0000,24.5682,0.8166,0.2460,1.9596,0.0000,0.0000,384,0.15,0.1000,20.0,1,4,0.000008
141,0.00010845,0.04137238,0.00000240,0.0000,0.0000,24.5681,0.8166,0.2460,1.9598,0.0000,0.0000,384,0.15,0.1000,20.0,1,4,0.000008
142,0.00017272,0.04136835,0.00000240,0.0000,0.0000,24.5680,0.8166,0.2460,1.9599,0.0000,0.0000,384,0.15,0.1000,20.0,1,4,0.000008
143,0.00006054,0.04136348,0.00000241,0.0000,0.0000,24.5678,0.8166,0.2460,1.9601,0.0000,0.0000,384,0.15,0.1000,20.0,1,4,0.000008
144,0.00006396,0.04135988,0.00000242,0.0000,0.0000,24.5677,0.8166,0.2460,1.9602,0.0000,0.0000,384,0.15,0.1000,15.0,1,4,0.000008
145,0.00006000,0.04120000,0.00000240,0.0000,0.0000,24.5672,0.8166,0.2460,1.9604,0.0000,0.0000,384,0.15,0.1000,15.0,1,4,0.000008
146,0.00006000,0.04115603,0.00000240,0.0000,0.0000,24.5671,0.8166,0.2460,1.9606,0.0000,0.0000,384,0.15,0.1000,15.0,1,4,0.000008
147,0.00004150,0.04456113,0.00000240,0.0000,0.0000,24.1268,0.7711,0.3034,3.5948,0.0000,0.0000,128,0.70,0.1000,20.0,1,4,0.000007
148,0.00001216,0.04456464,0.00000240,0.0000,0.0000,24.1274,0.7711,0.3034,3.5943,0.0000,0.0000,128,0.70,0.1000,20.0,1,4,0.000007
149,0.00001477,0.04455898,0.00000240,0.0000,0.0000,24.1274,0.7711,0.3034,3.5940,0.0000,0.0000,128,0.70,0.1000,20.0,1,4,0.000007
150,0.00003134,0.04455599,0.00000240,0.0000,0.0000,24.1276,0.7711,0.3034,3.5935,0.0000,0.0000,128,0.70,0.1000,20.0,1,4,0.000009
151,0.00002774,0.04454875,0.00000240,0.0000,0.0000,24.1275,0.7711,0.3034,3.5929,0.0000,0.0000,128,0.70,0.1000,20.0,1,4,0.000009
152,0.00001037,0.04453799,0.00000240,0.0000,0.0000,24.1271,0.7711,0.3035,3.5925,0.0000,0.0000,128,0.85,0.1000,20.0,1,4,0.000009
153,0.00003612,0.04453487,0.00000240,0.0000,0.0000,24.1271,0.7711,0.3035,3.5922,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000009
154,0.00002834,0.04453053,0.00000240,0.0000,0.0000,24.1270,0.7711,0.3035,3.5916,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
155,0.00002248,0.04452586,0.00000240,0.0000,0.0000,24.1269,0.7711,0.3035,3.5911,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
156,0.00001484,0.04451968,0.00000240,0.0000,0.0000,24.1266,0.7711,0.3035,3.5907,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
157,0.00001413,0.04451253,0.00000168,0.0000,0.0000,24.1261,0.7711,0.3035,3.5904,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
158,0.00001259,0.04450680,0.00000168,0.0000,0.0000,24.1257,0.7711,0.3035,3.5901,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
159,0.00003182,0.04450421,0.00000118,0.0000,0.0000,24.1255,0.7711,0.3035,3.5899,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
160,0.00000933,0.04450219,0.00000118,0.0000,0.0000,24.1254,0.7711,0.3035,3.5897,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
161,0.00000971,0.04449932,0.00000083,0.0000,0.0000,24.1251,0.7711,0.3035,3.5896,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
162,0.00002467,0.04449701,0.00000083,0.0000,0.0000,24.1249,0.7711,0.3035,3.5895,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
163,0.00003491,0.04449583,0.00000058,0.0000,0.0000,24.1248,0.7711,0.3035,3.5894,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
164,0.00003598,0.04449564,0.00000058,0.0000,0.0000,24.1248,0.7711,0.3035,3.5894,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
165,0.00004426,0.04449541,0.00000041,0.0000,0.0000,24.1248,0.7711,0.3035,3.5893,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
166,0.00003325,0.04449519,0.00000050,0.0000,0.0000,24.1247,0.7711,0.3035,3.5893,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
167,0.00003184,0.04449541,0.00000035,0.0000,0.0000,24.1248,0.7711,0.3035,3.5894,0.0000,0.0000,128,1.00,0.1000,20.0,1,4,0.000008
